% Classificacao de Placas Veiculares
% Inteligencia Artificial -2017.01
% Danielly Queiroz
% Tamires Pereira
% Relabeled values in attribute 'class'
% From: placa_nao				To: 0
% From: placa_sim				To: 1
%
@ relation classificacaoDePlacasVeiculares
@ attribute 'class' {0, 1}
@ attribute 'cor-0' numeric
@ attribute 'cor-1' numeric
@ attribute 'cor-2' numeric
@ attribute 'cor-3' numeric
@ attribute 'cor-4' numeric
@ attribute 'cor-5' numeric
@ attribute 'cor-6' numeric
@ attribute 'cor-7' numeric
@ attribute 'cor-8' numeric
@ attribute 'cor-9' numeric
@ attribute 'cor-10' numeric
@ attribute 'cor-11' numeric
@ attribute 'cor-12' numeric
@ attribute 'cor-13' numeric
@ attribute 'cor-14' numeric
@ attribute 'cor-15' numeric
@ attribute 'cor-16' numeric
@ attribute 'cor-17' numeric
@ attribute 'cor-18' numeric
@ attribute 'cor-19' numeric
@ attribute 'cor-20' numeric
@ attribute 'cor-21' numeric
@ attribute 'cor-22' numeric
@ attribute 'cor-23' numeric
@ attribute 'cor-24' numeric
@ attribute 'cor-25' numeric
@ attribute 'cor-26' numeric
@ attribute 'cor-27' numeric
@ attribute 'cor-28' numeric
@ attribute 'cor-29' numeric
@ attribute 'cor-30' numeric
@ attribute 'cor-31' numeric
@ attribute 'cor-32' numeric
@ attribute 'cor-33' numeric
@ attribute 'cor-34' numeric
@ attribute 'cor-35' numeric
@ attribute 'cor-36' numeric
@ attribute 'cor-37' numeric
@ attribute 'cor-38' numeric
@ attribute 'cor-39' numeric
@ attribute 'cor-40' numeric
@ attribute 'cor-41' numeric
@ attribute 'cor-42' numeric
@ attribute 'cor-43' numeric
@ attribute 'cor-44' numeric
@ attribute 'cor-45' numeric
@ attribute 'cor-46' numeric
@ attribute 'cor-47' numeric
@ attribute 'cor-48' numeric
@ attribute 'cor-49' numeric
@ attribute 'cor-50' numeric
@ attribute 'cor-51' numeric
@ attribute 'cor-52' numeric
@ attribute 'cor-53' numeric
@ attribute 'cor-54' numeric
@ attribute 'cor-55' numeric
@ attribute 'cor-56' numeric
@ attribute 'cor-57' numeric
@ attribute 'cor-58' numeric
@ attribute 'cor-59' numeric
@ attribute 'cor-60' numeric
@ attribute 'cor-61' numeric
@ attribute 'cor-62' numeric
@ attribute 'cor-63' numeric
@ attribute 'cor-64' numeric
@ attribute 'cor-65' numeric
@ attribute 'cor-66' numeric
@ attribute 'cor-67' numeric
@ attribute 'cor-68' numeric
@ attribute 'cor-69' numeric
@ attribute 'cor-70' numeric
@ attribute 'cor-71' numeric
@ attribute 'cor-72' numeric
@ attribute 'cor-73' numeric
@ attribute 'cor-74' numeric
@ attribute 'cor-75' numeric
@ attribute 'cor-76' numeric
@ attribute 'cor-77' numeric
@ attribute 'cor-78' numeric
@ attribute 'cor-79' numeric
@ attribute 'cor-80' numeric
@ attribute 'cor-81' numeric
@ attribute 'cor-82' numeric
@ attribute 'cor-83' numeric
@ attribute 'cor-84' numeric
@ attribute 'cor-85' numeric
@ attribute 'cor-86' numeric
@ attribute 'cor-87' numeric
